id,frame,idv_type,v,acc,x,lane_index,vehicle_sum,p_vehicle_sum
26,87,truck136,25.8938,0.4541,107.1441,1,11,0
23,87,truck228,26.25,-0.063,431.5105,1,11,0
17,87,truck219,27.3888,0.0501,1046.629,1,11,0
12,87,car49,37.137,-0.0532,2136.3779,1,11,0
27,87,car120,34.9119,1.5801,80.054,2,11,0
25,87,car999,36.97,0.8335,185.2077,2,11,0
24,87,car63,35.7849,-0.2021,500.9455,2,11,0
18,87,car71,37.2201,0.1002,1337.5983,2,11,0
16,87,car374,36.5339,0.339,1608.0292,2,11,0
9,87,car331,45.5333,0.0471,3752.3347,2,11,0
20,88,car60,38.5955,0.1508,964.0808,0,11,0
26,88,truck136,26.2469,0.3622,133.262,1,11,0
23,88,truck228,26.2048,0.0001,457.7233,1,11,0
17,88,truck219,27.4373,0.0661,1074.0478,1,11,0
12,88,car49,37.0073,-0.1027,2173.4349,1,11,0
27,88,car120,36.2217,1.1598,115.817,2,11,0
25,88,car999,37.7752,0.7556,222.6896,2,11,0
24,88,car63,35.6682,-0.0244,536.643,2,11,0
18,88,car71,37.2659,0.0258,1374.8575,2,11,0
16,88,car374,36.648,-0.0582,1644.6712,2,11,0
9,88,car331,45.5151,-0.0442,3797.8563,2,11,0
20,89,car60,38.738,0.3038,1002.7398,0,12,0
26,89,truck136,26.5094,0.1731,159.6872,1,12,0
23,89,truck228,26.1528,-0.054,483.8934,1,12,0
17,89,truck219,27.4262,-0.0463,1101.4851,1,12,0
12,89,car49,36.9249,-0.0628,2210.3902,1,12,0
30,89,car698,31.8717,0.6877,45.4078,2,12,0
27,89,car120,37.3295,0.995,152.7533,2,12,0
25,89,car999,38.5021,0.6689,260.9322,2,12,0
24,89,car63,35.5596,-0.0479,572.2383,2,12,0
18,89,car71,37.2031,-0.0669,1412.0837,2,12,0
16,89,car374,36.5763,-0.2325,1681.2814,2,12,0
9,89,car331,45.4871,-0.0104,3843.349,2,12,0
20,90,car60,38.9907,0.3952,1041.6199,0,12,0
26,90,truck136,26.5711,0.0128,186.2475,1,12,0
23,90,truck228,26.091,-0.0517,510.0079,1,12,0
17,90,truck219,27.416,0.0109,1128.9023,1,12,0
12,90,car49,36.7724,-0.1792,2247.2258,1,12,0
30,90,car698,32.6429,0.816,77.7565,2,12,0
27,90,car120,38.2555,0.8762,190.674,2,12,0
25,90,car999,39.1396,0.668,299.8294,2,12,0
24,90,car63,35.5498,0.0869,607.7804,2,12,0
18,90,car71,37.1494,0.0054,1449.2429,2,12,0
16,90,car374,36.6174,0.0638,1717.8829,2,12,0
9,90,car331,45.3858,-0.0261,3888.7609,2,12,0
20,91,car60,39.2733,0.0721,1080.824,0,12,0
26,91,truck136,26.5585,-0.019,212.8151,1,12,0
23,91,truck228,26.0358,-0.0188,536.0585,1,12,0
17,91,truck219,27.4791,0.0519,1156.3575,1,12,0
12,91,car49,36.7214,0.033,2283.9473,1,12,0
30,91,car698,33.5345,0.8576,110.9632,2,12,0
27,91,car120,38.9382,0.6402,229.3685,2,12,0
25,91,car999,39.7425,0.552,339.3568,2,12,0
24,91,car63,35.7742,0.2514,643.4688,2,12,0
18,91,car71,37.0436,-0.1574,1486.3327,2,12,0
16,91,car374,36.607,0.1074,1754.4812,2,12,0
9,91,car331,45.3617,-0.0392,3934.1375,2,12,0
20,92,car60,39.2904,-0.139,1120.1268,0,12,0
26,92,truck136,26.476,-0.0836,239.3204,1,12,0
23,92,truck228,25.9829,-0.0841,562.0637,1,12,0
17,92,truck219,27.5012,0.0907,1183.838,1,12,0
12,92,car49,36.7686,0.1062,2320.6776,1,12,0
30,92,car698,34.4271,0.8285,145.0639,2,12,0
27,92,car120,39.4693,0.4764,268.6532,2,12,0
25,92,car999,40.2049,0.4414,379.3941,2,12,0
24,92,car63,36.0248,0.2052,679.4068,2,12,0
18,92,car71,36.9762,-0.0359,1523.3293,2,12,0
16,92,car374,36.5938,-0.0665,1791.0834,2,12,0
9,92,car331,45.3775,-0.0076,3979.5144,2,12,0
20,93,car60,39.247,0.1493,1159.3574,0,12,0
26,93,truck136,26.4541,-0.0503,265.7882,1,12,0
23,93,truck228,25.8978,-0.0204,587.9841,1,12,0
17,93,truck219,27.5567,0.0142,1211.3854,1,12,0
12,93,car49,36.9351,0.1361,2357.5577,1,12,0
30,93,car698,35.2725,0.8032,180.0262,2,12,0
27,93,car120,39.8189,0.3806,308.3474,2,12,0
25,93,car999,40.5355,0.2172,419.8287,2,12,0
24,93,car63,36.1533,0.0685,715.5217,2,12,0
18,93,car71,36.9391,0.0462,1560.2662,2,12,0
16,93,car374,36.6574,0.0774,1827.724,2,12,0
9,93,car331,45.4473,0.0634,4024.9322,2,12,0
20,94,car60,39.4431,0.045,1198.7413,0,12,0
26,94,truck136,26.3681,-0.124,292.1992,1,12,0
23,94,truck228,25.827,-0.1037,613.8487,1,12,0
17,94,truck219,27.6558,0.0994,1239.0041,1,12,0
12,94,car49,37.0095,0.0925,2394.5454,1,12,0
30,94,car698,36.1855,0.8927,215.8708,2,12,0
27,94,car120,39.9996,0.2591,348.2615,2,12,0
25,94,car999,40.7789,0.2698,460.5163,2,12,0
24,94,car63,36.225,0.0641,751.7197,2,12,0
18,94,car71,37.002,-0.0702,1597.2638,2,12,0
16,94,car374,36.6207,-0.0668,1864.3738,2,12,0
9,94,car331,45.4591,-0.0287,4070.3906,2,12,0
20,95,car60,39.519,0.043,1238.2253,0,12,0
26,95,truck136,26.2489,-0.0801,318.4883,1,12,0
23,95,truck228,25.7532,-0.0228,639.6222,1,12,0
17,95,truck219,27.78,0.0845,1266.7422,1,12,0
12,95,car49,37.1311,0.1406,2431.6296,1,12,0
30,95,car698,36.8725,0.6399,252.499,2,12,0
27,95,car120,40.3559,0.2672,388.4885,2,12,0
25,95,car999,41.0474,0.2809,501.4603,2,12,0
24,95,car63,36.2525,0.1437,787.9448,2,12,0
18,95,car71,36.943,0.0283,1634.2216,2,12,0
16,95,car374,36.5954,-0.0105,1900.9638,2,12,0
9,95,car331,45.4172,0.0073,4115.8197,2,12,0
20,96,car60,39.5466,-0.0618,1277.7859,0,12,0
26,96,truck136,26.2843,0.1087,344.7434,1,12,0
23,96,truck228,25.7492,0.0362,665.3705,1,12,0
17,96,truck219,27.7893,0.0249,1294.5248,1,12,0
12,96,car49,37.2065,0.0162,2468.8257,1,12,0
30,96,car698,37.4611,0.708,289.7241,2,12,0
27,96,car120,40.4574,0.008,428.9343,2,12,0
25,96,car999,41.2936,0.2532,542.6648,2,12,0
24,96,car63,36.2062,-0.0047,824.1718,2,12,0
18,96,car71,37.089,0.1628,1671.239,2,12,0
16,96,car374,36.6188,0.0966,1937.5513,2,12,0
9,96,car331,45.5578,0.2092,4161.3062,2,12,0
20,97,car60,39.3226,-0.2435,1317.1973,0,12,0
26,97,truck136,26.3008,-0.0086,371.0428,1,12,0
23,97,truck228,25.7902,0.0307,691.1481,1,12,0
17,97,truck219,27.7699,-0.0964,1322.3111,1,12,0
12,97,car49,37.2493,0.0745,2506.0601,1,12,0
30,97,car698,38.0394,0.5114,327.5616,2,12,0
27,97,car120,40.3053,-0.0899,469.2967,2,12,0
25,97,car999,41.4883,0.2374,584.0784,2,12,0
24,97,car63,36.1955,-0.0586,860.3717,2,12,0
18,97,car71,37.1217,-0.0722,1708.3626,2,12,0
16,97,car374,36.5124,-0.0044,1974.0934,2,12,0
9,97,car331,45.521,0.0222,4206.8404,2,12,0
20,98,car60,39.2224,-0.0631,1356.4465,0,12,0
26,98,truck136,26.2193,-0.0862,397.2975,1,12,0
23,98,truck228,25.8501,0.0485,716.9751,1,12,0
17,98,truck219,27.7794,-0.0084,1350.0899,1,12,0
12,98,car49,37.3281,0.0634,2543.3594,1,12,0
30,98,car698,38.4795,0.4918,365.8739,2,12,0
27,98,car120,40.1249,-0.0039,509.4698,2,12,0
25,98,car999,41.7229,0.2499,625.7116,2,12,0
24,98,car63,36.1528,-0.0739,896.5455,2,12,0
18,98,car71,37.1238,0.0542,1745.4833,2,12,0
16,98,car374,36.4489,-0.0825,2010.5729,2,12,0
9,98,car331,45.5439,0.1527,4252.3509,2,12,0
20,99,car60,39.3215,0.1664,1395.7259,0,12,0
26,99,truck136,26.2584,0.1337,423.5271,1,12,0
23,99,truck228,25.853,-0.0308,742.8322,1,12,0
17,99,truck219,27.8,0.0157,1377.8834,1,12,0
12,99,car49,37.3817,0.0201,2580.7277,1,12,0
30,99,car698,38.955,0.517,404.6422,2,12,0
27,99,car120,40.2717,0.2504,549.6516,2,12,0
25,99,car999,41.8886,0.105,667.5536,2,12,0
24,99,car63,36.0199,-0.1913,932.6268,2,12,0
18,99,car71,37.3472,0.2439,1782.7323,2,12,0
16,99,car374,36.2825,-0.1023,2046.9057,2,12,0
9,99,car331,45.5636,0.0449,4297.9024,2,12,0
20,100,car60,39.455,0.1592,1435.1235,0,12,0
26,100,truck136,26.4064,0.161,449.8797,1,12,0
23,100,truck228,25.8233,-0.0129,768.6612,1,12,0
17,100,truck219,27.7968,0.0199,1405.6824,1,12,0
12,100,car49,37.4186,0.0473,2618.1267,1,12,0
30,100,car698,39.3896,0.3954,443.8757,2,12,0
27,100,car120,40.5209,0.2812,590.0729,2,12,0
25,100,car999,42.0217,0.1885,709.508,2,12,0
24,100,car63,35.958,-0.0547,968.6024,2,12,0
18,100,car71,37.373,-0.0373,1820.1088,2,12,0
16,100,car374,36.3682,0.2121,2083.2144,2,12,0
9,100,car331,45.5121,-0.0303,4343.4335,2,12,0
20,101,car60,39.4415,-0.1815,1474.5994,0,12,0
